Date,RAIN_DEPTH,AIR_TEMP,AIR_HUMIDITY,WIND_SPEED
01/01/2021 00:00,0,7.2,79,9
01/01/2021 01:00,0,7.3,79,6
01/01/2021 02:00,0,7.6,78,4
01/01/2021 03:00,0,8.2,75,4
01/01/2021 04:00,0,7.7,77,7
01/01/2021 05:00,0.1,7.5,81,8
01/01/2021 06:00,0,7.6,82,8
01/01/2021 07:00,0,7.6,84,9
01/01/2021 08:00,0.5,7.2,91,9
01/01/2021 09:00,0,8,86,9
01/01/2021 10:00,0.3,8,88,10
01/01/2021 11:00,0,8.8,87,8
01/01/2021 12:00,0,9.4,82,5
01/01/2021 13:00,0,10.3,77,6
01/01/2021 14:00,0.1,10,80,7
01/01/2021 15:00,0.5,10.1,80,8
01/01/2021 16:00,0.7,9.8,84,7
01/01/2021 17:00,0,10.2,85,7
01/01/2021 18:00,0,10.8,81,8
01/01/2021 19:00,0,10.6,75,12
01/01/2021 20:00,0.4,9.7,85,10
01/01/2021 21:00,0.1,9.7,84,8
01/01/2021 22:00,0,10.5,77,8
01/01/2021 23:00,0,10.6,80,14
02/01/2021 00:00,0,10.7,79,12
02/01/2021 01:00,0,10.8,79,10
02/01/2021 02:00,0,10.8,78,10
02/01/2021 03:00,0,11.1,73,15
02/01/2021 04:00,0.2,10.2,78,15
02/01/2021 05:00,0,10.3,77,14
02/01/2021 06:00,0,10.5,73,18
