Date,dma_a,dma_b,dma_c,dma_d,dma_e,dma_f,dma_g,dma_h,dma_i,dma_j
2021-01-01 00:00:00,,,3.7,,,,,,,
2021-01-01 01:00:00,,,3.56,,,,,,,
2021-01-01 02:00:00,,,3.27,,,,,,,
2021-01-01 03:00:00,,,2.84,,,,,,,
2021-01-01 04:00:00,,,2.74,,,,,,,
2021-01-01 05:00:00,,,2.72,,,,,,,
2021-01-01 06:00:00,,,2.87,,,,,,,
2021-01-01 07:00:00,,,3.08,,,,,,,
2021-01-01 08:00:00,,,3.87,,,,,,,
2021-01-01 09:00:00,,,4.82,,,,,,,
2021-01-01 10:00:00,,,5.87,,,,,,,
2021-01-01 11:00:00,,,5.96,,,,,,,
2021-01-01 12:00:00,,,5.66,,,,,,,
2021-01-01 13:00:00,,,5.25,,,,,,,
2021-01-01 14:00:00,,,4.93,,,,,,,
2021-01-01 15:00:00,,,4.4,,,,,,,
2021-01-01 16:00:00,8.75,10.15,4.37,31.43,82.73,,20.86,19.1,,22.21
2021-01-01 17:00:00,5.45,9.17,4.58,37.6,81.45,,22.3,18.25,,21.58
2021-01-01 18:00:00,5.86,9.18,,39.19,80.66,,23.88,18.54,,22.48
2021-01-01 19:00:00,5.84,9.7,4.57,40.9,83.85,,23.75,19.66,,23.43
2021-01-01 20:00:00,5.83,9.85,4.81,38.76,85.88,,25.03,19.49,,24.16
2021-01-01 21:00:00,5.81,9.3,4.46,34.63,79.68,,22.55,17.96,,22.23
2021-01-01 22:00:00,4.81,8.93,3.76,32.56,73.17,,19.37,15.38,,19.98
2021-01-01 23:00:00,4.41,8.56,3.47,31.74,68.37,,18.83,14.72,,19.53
2021-01-02 00:00:00,3.36,8.16,3.18,30.05,63.15,,16.83,13.68,,18.86
2021-01-02 01:00:00,2.38,7.87,2.92,27.24,58.53,,15.43,11.69,,20.34
2021-01-02 02:00:00,3.24,7.76,2.79,27.08,54.75,,13.01,11.15,,18.75
2021-01-02 03:00:00,3.14,7.66,2.6,26.69,54.35,,12.55,10.83,,18.08
2021-01-02 04:00:00,2.79,7.74,2.62,26.08,54.24,,11.95,10.62,,18.75
2021-01-02 05:00:00,3.8,7.86,2.75,23.65,55.12,,12.7,11.21,,19.48
