Date,dma_a,dma_b,dma_c,dma_d,dma_e,dma_f,dma_g,dma_h,dma_i,dma_j,diurnal_dma_a,diurnal_dma_b,diurnal_dma_c,diurnal_dma_d,diurnal_dma_e,diurnal_dma_f,diurnal_dma_g,diurnal_dma_h,diurnal_dma_i,diurnal_dma_j,AIR_TEMP,AIR_HUMIDITY
2021-03-25 08:00:00,8.723032539606338,11.77,5.92,44.0,102.27,9.19,34.03,28.89,25.52,30.78,10.721216173957643,10.893760300946461,5.820294117647059,41.37996657138371,99.7775728812016,9.219591108456166,33.175130418282315,28.413461986345208,22.554030507623665,32.19209499684102,9.8,60.0
2021-03-25 09:00:00,10.594240344798552,11.8,5.48,37.45,95.16,9.26,28.46,26.83,25.02,30.62,10.689538013772106,10.44415718741077,5.420537186589134,39.2837666512338,94.05499249566118,8.927061246487112,30.443690137808986,28.169263862736084,22.847088320125746,32.44910211007422,10.0,64.0
2021-03-25 10:00:00,8.559600605795474,10.79,5.12,40.98,90.93,8.15,25.86,24.88,26.2,30.91,10.52227546813535,9.953823529411764,4.87624163675594,37.28142503570507,88.29906641538021,8.527988209400279,27.752166594652543,27.449883656162108,23.257412098680273,32.53852592826678,10.0,67.0
2021-03-25 11:00:00,11.01,11.25,5.42,39.81,84.97,7.78,25.05,23.86,25.22,30.97,10.315679419892831,9.778970588235294,4.653023986600068,35.435405041745945,84.61888029891303,8.338407597085679,26.027131399228857,25.857910182223403,23.278967328150816,31.936517538435396,9.8,64.0
2021-03-25 12:00:00,13.83,11.73,4.87,35.16,86.8,8.45,27.96,23.75,27.77,33.06,10.28794117647059,9.722113718267062,4.697632896789572,35.594454431568444,84.95058823529412,8.641887752489918,25.845290351955175,26.019691627039563,22.406617647058823,31.09118979059454,9.9,65.0
2021-03-25 13:00:00,13.64,11.95,4.88,38.08,88.71,7.45,25.42,23.76,25.19,28.4,10.47643317851518,9.858976409561341,4.531288421602943,36.16131126355886,85.35264705882354,8.372111612331306,26.319475359736323,26.06533834083497,23.37157393538842,31.37472682989738,10.3,64.0
2021-03-25 14:00:00,5.96,10.92,4.78,35.76,82.91,9.56,24.08,22.84,24.44,29.98,10.512123891593873,9.657217197919593,4.368382352941176,35.09525905519626,81.99102707803804,8.398768409241445,25.336627015464547,24.585602311603495,23.17359978541114,31.06573231798772,10.6,66.0
2021-03-25 15:00:00,2.86,10.2,4.58,32.14,79.2,9.63,22.11,21.66,24.24,28.95,10.000038638338163,9.613545112667174,4.288988819977834,34.18769251693543,78.73954737528982,8.209104151324642,24.023208494778114,22.832159684957706,22.838139383556022,29.897313944958164,11.1,69.0
2021-03-25 16:00:00,5.31,10.23,4.7,34.79,77.92,6.81,23.82,20.47,26.02,30.25,9.248361509702063,9.71835070546237,4.345882352941176,34.4258647649961,78.17012657812545,7.79607000435198,24.073379388293073,22.781323905988796,22.91963822302342,30.62819002309344,11.8,65.0
2021-03-25 17:00:00,5.77,10.99,4.95,38.85,79.33,7.1,23.52,21.03,23.75,26.86,9.02778042780464,10.109005818051871,4.716323529411764,34.95741303457114,79.7716130156762,8.421284387608248,24.82245840685282,23.108902375320536,21.249187895378874,29.033652638065362,11.4,64.0
2021-03-25 18:00:00,6.46,10.52,5.78,42.42,85.91,7.45,24.86,21.4,22.73,27.26,9.286005006078225,10.668925811736315,5.3655456377244,37.526606851141494,84.09218881829918,8.678722416359133,26.582717511942842,23.41573811567753,20.771796966184997,28.90452519932131,10.8,71.0
2021-03-25 19:00:00,6.63,11.12,5.46,39.97,91.06,8.75,27.32,22.13,21.86,28.33,9.770931186611127,11.399865739368126,5.799827226315358,39.88683076274834,88.98391418017147,9.081649256866287,29.32559960996238,23.693900657753037,20.307128980304245,28.931725329545547,10.5,70.0
2021-03-25 20:00:00,10.48,10.93,5.27,38.49,91.17,8.09,28.42,22.61,21.63,26.45,9.947946850363504,11.077472031953667,5.728481628619161,40.619609250450914,90.40037308832386,9.131767764313972,29.911543556667656,23.442825623948394,19.549173085225036,27.62302527536054,10.6,68.0
2021-03-25 21:00:00,7.77938736700029,10.39,5.0,33.42,83.14,7.39,24.55,20.33,20.71,24.43,8.586749253665507,10.07807702870725,5.074025372611025,35.694337577161235,84.01464064463532,8.465361350537744,27.20913389096816,21.24535417378203,18.797434797540646,26.07116861805552,10.1,71.0
2021-03-25 22:00:00,5.97,9.23,4.38,29.48,71.56,6.64,20.92,18.8,21.02,22.87,7.426664639490626,9.081356060559187,4.176323529411765,30.93252534518308,74.95349961116831,7.420349155840981,24.245336901816962,18.784561483094897,18.607058542846385,24.80944082949456,9.5,71.0
2021-03-25 23:00:00,5.27,9.21,3.55,28.04,65.78,7.39,19.12,16.16,19.3,20.63,6.951470040737687,8.523363025970788,3.866911764705882,28.66443134803613,69.3175650420297,6.949233738550148,22.152612705280262,16.99519347751586,18.2544378636286,23.56693123245101,9.2,70.0
2021-03-26 00:00:00,5.0,8.61,3.48,27.94,57.53,6.62,16.34,13.68,20.06,21.13,6.303011394607353,8.027891101918215,3.2661764705882352,25.89786967484819,60.67941925817748,6.6938251494010315,19.400860272919672,14.341378876365392,17.575360385748766,21.95764199104217,8.9,72.0
