model_fold_0_0,,,,forecast_fold_0_0,,,,,,model_fold_1_0,,,,forecast_fold_1_0,,,,,,model_fold_2_0,,,,forecast_fold_2_0,,,,,,model_fold_3_0,,,,forecast_fold_3_0,,,,,,model_fold_4_0,,,,forecast_fold_4_0,,,,,,model_fold_5_0,,,,forecast_fold_5_0,,,,,,model_fold_6_0,,,,forecast_fold_6_0
15.65330466,,,,,,,,,,15.65330466,,,,,,,,,,15.65330466,,,,,,,,,,15.65330466,,,,,,,,,,15.65330466,,,,,,,,,,15.65330466,,,,,,,,,,15.65330466,,,,
5.362849188,,,,,,,,,,5.362849188,,,,,,,,,,5.362849188,,,,,,,,,,5.362849188,,,,,,,,,,5.362849188,,,,,,,,,,5.362849188,,,,,,,,,,5.362849187,,,,
4.05463362,,,,,,,,,,4.060910224,,,,,,,,,,4.03487743,,,,,,,,,,4.040130662,,,,,,,,,,4.037300052,,,,,,,,,,4.02749253,,,,,,,,,,4.025137098,,,,
5.483788799,,,,,,,,,,5.207747097,,,,,,,,,,5.244588614,,,,,,,,,,5.269004543,,,,,,,,,,5.307168526,,,,,,,,,,5.291374716,,,,,,,,,,5.282389835,,,,
4.471085399,,,,,,,,,,4.500698019,,,,,,,,,,4.510909218,,,,,,,,,,4.534101345,,,,,,,,,,4.554255815,,,,,,,,,,4.536575964,,,,,,,,,,4.528616236,,,,
5.273182383,,,,,,,,,,5.305718514,,,,,,,,,,5.343009768,,,,,,,,,,5.363204647,,,,,,,,,,5.384830589,,,,,,,,,,5.376209202,,,,,,,,,,5.370200628,,,,
7.829613346,,,,,,,,,,8.151118038,,,,,,,,,,8.162403481,,,,,,,,,,8.146133085,,,,,,,,,,8.120569936,,,,,,,,,,8.141260406,,,,,,,,,,8.149007157,,,,
9.537045432,,,,,,,,,,9.901012244,,,,,,,,,,9.866525533,,,,,,,,,,9.826439963,,,,,,,,,,9.767745124,,,,,,,,,,9.80001218,,,,,,,,,,9.815549954,,,,
10.78211621,,,,,,,,,,10.81502495,,,,,,,,,,10.77417823,,,,,,,,,,10.72825087,,,,,,,,,,10.67911326,,,,,,,,,,10.71057272,,,,,,,,,,10.72626343,,,,
10.5206128,,,,,,,,,,10.37559438,,,,,,,,,,10.32871742,,,,,,,,,,10.29640318,,,,,,,,,,10.2673493,,,,,,,,,,10.28254499,,,,,,,,,,10.29199339,,,,
10.44360941,,,,,,,,,,10.08322358,,,,,,,,,,10.06562904,,,,,,,,,,10.05366097,,,,,,,,,,10.06209517,,,,,,,,,,10.06192154,,,,,,,,,,10.06315325,,,,
10.96283509,,,,,,,,,,10.62205585,,,,,,,,,,10.61539848,,,,,,,,,,10.58486818,,,,,,,,,,10.60226068,,,,,,,,,,10.61542897,,,,,,,,,,10.62136836,,,,
11.72014143,,,,,,,,,,11.50548598,,,,,,,,,,11.45379413,,,,,,,,,,11.37452873,,,,,,,,,,11.37279814,,,,,,,,,,11.41153976,,,,,,,,,,11.43083785,,,,
12.0200105,,,,,,,,,,11.66648933,,,,,,,,,,11.56331145,,,,,,,,,,11.47036396,,,,,,,,,,11.47490555,,,,,,,,,,11.50708153,,,,,,,,,,11.52701857,,,,
12.88390681,,,,,,,,,,11.95466271,,,,,,,,,,11.86833459,,,,,,,,,,11.77980743,,,,,,,,,,11.85395102,,,,,,,,,,11.87037129,,,,,,,,,,11.88259971,,,,
