model_fold_0_0,,,,forecast_fold_0_0,,,,,,model_fold_1_0,,,,forecast_fold_1_0,,,,,,model_fold_2_0,,,,forecast_fold_2_0,,,,,,model_fold_3_0,,,,forecast_fold_3_0,,,,,,model_fold_4_0,,,,forecast_fold_4_0,,,,,,model_fold_5_0,,,,forecast_fold_5_0,,,,,,model_fold_6_0,,,,forecast_fold_6_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.81846154,,,,,,,,,,21.81846154,,,,,,,,,,21.81846154,,,,,,,,,,21.81846154,,,,,,,,,,21.81846154,,,,,,,,,,21.81846154,,,,,,,,,,21.81846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.25225441,,,,,,,,,,20.27347853,,,,,,,,,,20.25954364,,,,,,,,,,20.27112714,,,,,,,,,,20.26434629,,,,,,,,,,20.26171253,,,,,,,,,,20.26079602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.47879713,,,,,,,,,,18.48740592,,,,,,,,,,18.49830907,,,,,,,,,,18.49840572,,,,,,,,,,18.4939193,,,,,,,,,,18.48796007,,,,,,,,,,18.4899024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.42493925,,,,,,,,,,18.43786323,,,,,,,,,,18.43879487,,,,,,,,,,18.45028247,,,,,,,,,,18.45035796,,,,,,,,,,18.44055856,,,,,,,,,,18.43266943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.62291611,,,,,,,,,,18.6331155,,,,,,,,,,18.63159856,,,,,,,,,,18.62540443,,,,,,,,,,18.61163226,,,,,,,,,,18.61392116,,,,,,,,,,18.60167564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.02031357,,,,,,,,,,22.02872842,,,,,,,,,,22.02003414,,,,,,,,,,22.02979616,,,,,,,,,,22.03117821,,,,,,,,,,22.02823881,,,,,,,,,,22.02640973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.54552928,,,,,,,,,,29.58188817,,,,,,,,,,29.50130794,,,,,,,,,,29.52219821,,,,,,,,,,29.50707976,,,,,,,,,,29.52907317,,,,,,,,,,29.52928728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.47198158,,,,,,,,,,37.500433,,,,,,,,,,37.47000088,,,,,,,,,,37.48362553,,,,,,,,,,37.47686291,,,,,,,,,,37.48374308,,,,,,,,,,37.51850438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.81704879,,,,,,,,,,35.82873797,,,,,,,,,,35.9033252,,,,,,,,,,35.92149464,,,,,,,,,,35.93888412,,,,,,,,,,35.8927317,,,,,,,,,,35.91427578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.68352357,,,,,,,,,,34.73495107,,,,,,,,,,34.71773227,,,,,,,,,,34.74435125,,,,,,,,,,34.72459591,,,,,,,,,,34.70589089,,,,,,,,,,34.6583668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
