model_fold_0_0,,,,forecast_fold_0_0,,,,,,model_fold_1_0,,,,forecast_fold_1_0,,,,,,model_fold_2_0,,,,forecast_fold_2_0,,,,,,model_fold_3_0,,,,forecast_fold_3_0,,,,,,model_fold_4_0,,,,forecast_fold_4_0,,,,,,model_fold_5_0,,,,forecast_fold_5_0,,,,,,model_fold_6_0,,,,forecast_fold_6_0
18.42846154,,,,,,,,,,18.42846154,,,,,,,,,,18.42846154,,,,,,,,,,18.42846154,,,,,,,,,,18.42846154,,,,,,,,,,18.42846154,,,,,,,,,,18.42846154,,,,
18.18763761,,,,,,,,,,18.18632699,,,,,,,,,,18.18740313,,,,,,,,,,18.18718219,,,,,,,,,,18.18729409,,,,,,,,,,18.18775515,,,,,,,,,,18.18798307,,,,
17.93727495,,,,,,,,,,17.93586373,,,,,,,,,,17.93667005,,,,,,,,,,17.93625885,,,,,,,,,,17.93619532,,,,,,,,,,17.93646366,,,,,,,,,,17.93665159,,,,
17.57932161,,,,,,,,,,17.57018401,,,,,,,,,,17.5805423,,,,,,,,,,17.58049351,,,,,,,,,,17.58281215,,,,,,,,,,17.58781374,,,,,,,,,,17.5897968,,,,
17.56331682,,,,,,,,,,17.56285964,,,,,,,,,,17.55775275,,,,,,,,,,17.55495857,,,,,,,,,,17.55221602,,,,,,,,,,17.54912996,,,,,,,,,,17.54846149,,,,
18.12186802,,,,,,,,,,18.11366491,,,,,,,,,,18.12045329,,,,,,,,,,18.11911989,,,,,,,,,,18.11979951,,,,,,,,,,18.12251528,,,,,,,,,,18.12384389,,,,
19.31034996,,,,,,,,,,19.29704004,,,,,,,,,,19.30757583,,,,,,,,,,19.30523813,,,,,,,,,,19.3062694,,,,,,,,,,19.31077262,,,,,,,,,,19.31300539,,,,
22.51910363,,,,,,,,,,22.52152518,,,,,,,,,,22.50720012,,,,,,,,,,22.50140023,,,,,,,,,,22.49471511,,,,,,,,,,22.48609679,,,,,,,,,,22.48382833,,,,
26.27055713,,,,,,,,,,26.2906102,,,,,,,,,,26.25894898,,,,,,,,,,26.25441205,,,,,,,,,,26.24420189,,,,,,,,,,26.22660285,,,,,,,,,,26.22052826,,,,
28.03825512,,,,,,,,,,28.1277388,,,,,,,,,,28.01907766,,,,,,,,,,28.01555415,,,,,,,,,,27.98805816,,,,,,,,,,27.93224447,,,,,,,,,,27.91087254,,,,
29.81300944,,,,,,,,,,29.92397667,,,,,,,,,,29.83221174,,,,,,,,,,29.84919634,,,,,,,,,,29.83698482,,,,,,,,,,29.793332,,,,,,,,,,29.77271413,,,,
30.68170366,,,,,,,,,,30.7924019,,,,,,,,,,30.74043319,,,,,,,,,,30.77750096,,,,,,,,,,30.78672879,,,,,,,,,,30.76954254,,,,,,,,,,30.75546046,,,,
27.16074935,,,,,,,,,,27.21610418,,,,,,,,,,27.26002612,,,,,,,,,,27.31404868,,,,,,,,,,27.35630536,,,,,,,,,,27.39391617,,,,,,,,,,27.39820503,,,,
25.85825644,,,,,,,,,,25.82802606,,,,,,,,,,25.96827778,,,,,,,,,,26.02238911,,,,,,,,,,26.08840049,,,,,,,,,,26.17791294,,,,,,,,,,26.20276631,,,,
28.25997087,,,,,,,,,,28.30035543,,,,,,,,,,28.29459917,,,,,,,,,,28.31641309,,,,,,,,,,28.33119287,,,,,,,,,,28.34352915,,,,,,,,,,28.3443211,,,,
26.55021189,,,,,,,,,,26.54737503,,,,,,,,,,26.60023561,,,,,,,,,,26.62597905,,,,,,,,,,26.65488574,,,,,,,,,,26.69274047,,,,,,,,,,26.70278138,,,,
27.36717847,,,,,,,,,,27.46538416,,,,,,,,,,27.36699628,,,,,,,,,,27.37471396,,,,,,,,,,27.35832816,,,,,,,,,,27.31676946,,,,,,,,,,27.29897537,,,,
22.54373888,,,,,,,,,,22.52902153,,,,,,,,,,22.617157,,,,,,,,,,22.65313018,,,,,,,,,,22.69449585,,,,,,,,,,22.74791921,,,,,,,,,,22.76200611,,,,
22.03783883,,,,,,,,,,22.04911793,,,,,,,,,,22.06984803,,,,,,,,,,22.08772269,,,,,,,,,,22.1046924,,,,,,,,,,22.12459938,,,,,,,,,,22.12905591,,,,
22.50565159,,,,,,,,,,22.5079199,,,,,,,,,,22.53228332,,,,,,,,,,22.54667119,,,,,,,,,,22.56194536,,,,,,,,,,22.58142005,,,,,,,,,,22.58637573,,,,
21.23596874,,,,,,,,,,21.23324143,,,,,,,,,,21.25445877,,,,,,,,,,21.26440456,,,,,,,,,,21.2761199,,,,,,,,,,21.29220866,,,,,,,,,,21.29668311,,,,
20.97048376,,,,,,,,,,20.98497879,,,,,,,,,,20.97525132,,,,,,,,,,20.97964204,,,,,,,,,,20.98075888,,,,,,,,,,20.97947245,,,,,,,,,,20.97816045,,,,
20.05815857,,,,,,,,,,20.0614708,,,,,,,,,,20.06993313,,,,,,,,,,20.07706405,,,,,,,,,,20.08348957,,,,,,,,,,20.09061668,,,,,,,,,,20.09206321,,,,
21.2095642,,,,,,,,,,21.22423065,,,,,,,,,,21.21434617,,,,,,,,,,21.21936383,,,,,,,,,,21.22037767,,,,,,,,,,21.21809514,,,,,,,,,,21.21624715,,,,
19.53780165,,,,,,,,,,19.54471702,,,,,,,,,,19.54879144,,,,,,,,,,19.55671189,,,,,,,,,,19.56239296,,,,,,,,,,19.56726364,,,,,,,,,,19.56769714,,,,
18.41345682,,,,,,,,,,18.39877423,,,,,,,,,,18.42913208,,,,,,,,,,18.437924,,,,,,,,,,18.45030422,,,,,,,,,,18.46870425,,,,,,,,,,18.47428801,,,,
19.16115529,,,,,,,,,,19.16867776,,,,,,,,,,19.15052166,,,,,,,,,,19.15926014,,,,,,,,,,19.16062448,,,,,,,,,,19.15735822,,,,,,,,,,19.15445414,,,,
19.45096752,,,,,,,,,,19.45692402,,,,,,,,,,19.45732295,,,,,,,,,,19.45623645,,,,,,,,,,19.45583498,,,,,,,,,,19.45541144,,,,,,,,,,19.4554314,,,,
19.79597016,,,,,,,,,,19.81740962,,,,,,,,,,19.78794552,,,,,,,,,,19.79719904,,,,,,,,,,19.79577603,,,,,,,,,,19.78550021,,,,,,,,,,19.77971641,,,,
19.82461167,,,,,,,,,,19.82087987,,,,,,,,,,19.83185067,,,,,,,,,,19.85043509,,,,,,,,,,19.86357354,,,,,,,,,,19.87574188,,,,,,,,,,19.87697052,,,,
20.55406544,,,,,,,,,,20.55008404,,,,,,,,,,20.57250119,,,,,,,,,,20.56944314,,,,,,,,,,20.57325307,,,,,,,,,,20.5828056,,,,,,,,,,20.58713241,,,,
22.80024265,,,,,,,,,,22.79928577,,,,,,,,,,22.82278927,,,,,,,,,,22.80363946,,,,,,,,,,22.79842763,,,,,,,,,,22.80172874,,,,,,,,,,22.80672255,,,,
25.1632974,,,,,,,,,,25.18233087,,,,,,,,,,25.23743036,,,,,,,,,,25.14976155,,,,,,,,,,25.11243528,,,,,,,,,,25.09952615,,,,,,,,,,25.11112224,,,,
26.20452936,,,,,,,,,,26.20872673,,,,,,,,,,26.27672327,,,,,,,,,,26.19579578,,,,,,,,,,26.1649358,,,,,,,,,,26.16036696,,,,,,,,,,26.17408919,,,,
27.04051127,,,,,,,,,,27.03146539,,,,,,,,,,27.09800049,,,,,,,,,,27.02653762,,,,,,,,,,27.00100963,,,,,,,,,,27.00106399,,,,,,,,,,27.01470271,,,,
26.11847855,,,,,,,,,,26.0913817,,,,,,,,,,26.11397109,,,,,,,,,,26.09909839,,,,,,,,,,26.09602519,,,,,,,,,,26.10196192,,,,,,,,,,26.10706304,,,,
23.61337011,,,,,,,,,,23.57885342,,,,,,,,,,23.53763359,,,,,,,,,,23.58807883,,,,,,,,,,23.60781702,,,,,,,,,,23.61377412,,,,,,,,,,23.60628338,,,,
25.71935407,,,,,,,,,,25.72800321,,,,,,,,,,25.7342471,,,,,,,,,,25.67304203,,,,,,,,,,25.63971561,,,,,,,,,,25.61719025,,,,,,,,,,25.61939821,,,,
25.25800893,,,,,,,,,,25.2207516,,,,,,,,,,25.22929372,,,,,,,,,,25.24444659,,,,,,,,,,25.25447187,,,,,,,,,,25.26534562,,,,,,,,,,25.26663945,,,,
25.48042634,,,,,,,,,,25.49002014,,,,,,,,,,25.54452798,,,,,,,,,,25.42982413,,,,,,,,,,25.37666847,,,,,,,,,,25.35256083,,,,,,,,,,25.36456397,,,,
23.19322843,,,,,,,,,,23.1525515,,,,,,,,,,23.12613656,,,,,,,,,,23.1720632,,,,,,,,,,23.19140823,,,,,,,,,,23.19979901,,,,,,,,,,23.19456421,,,,
22.28239961,,,,,,,,,,22.28508529,,,,,,,,,,22.26389618,,,,,,,,,,22.23601131,,,,,,,,,,22.2150707,,,,,,,,,,22.19412952,,,,,,,,,,22.19085865,,,,
22.1375258,,,,,,,,,,22.15198752,,,,,,,,,,22.11018159,,,,,,,,,,22.10374218,,,,,,,,,,22.08971148,,,,,,,,,,22.06627345,,,,,,,,,,22.05811335,,,,
22.3816991,,,,,,,,,,22.39958289,,,,,,,,,,22.36783789,,,,,,,,,,22.36998538,,,,,,,,,,22.36317992,,,,,,,,,,22.34700076,,,,,,,,,,22.3400426,,,,
22.02277234,,,,,,,,,,22.03147508,,,,,,,,,,22.04286941,,,,,,,,,,22.03113567,,,,,,,,,,22.02663355,,,,,,,,,,22.02460349,,,,,,,,,,22.0258552,,,,
20.81325989,,,,,,,,,,20.80663186,,,,,,,,,,20.82052225,,,,,,,,,,20.82781114,,,,,,,,,,20.83517321,,,,,,,,,,20.84425472,,,,,,,,,,20.84640077,,,,
20.42407404,,,,,,,,,,20.41906497,,,,,,,,,,20.44002141,,,,,,,,,,20.42828,,,,,,,,,,20.42670888,,,,,,,,,,20.43194874,,,,,,,,,,20.43617837,,,,
19.94542844,,,,,,,,,,19.9369873,,,,,,,,,,19.94552289,,,,,,,,,,19.94367713,,,,,,,,,,19.94480529,,,,,,,,,,19.94889948,,,,,,,,,,19.95087041,,,,
19.61114034,,,,,,,,,,19.62708142,,,,,,,,,,19.58176968,,,,,,,,,,19.59611586,,,,,,,,,,19.59400396,,,,,,,,,,19.57964539,,,,,,,,,,19.57126075,,,,
18.98834801,,,,,,,,,,18.99753804,,,,,,,,,,19.00679836,,,,,,,,,,18.99412257,,,,,,,,,,18.98884967,,,,,,,,,,18.98626228,,,,,,,,,,18.98749086,,,,
19.49370584,,,,,,,,,,19.51639538,,,,,,,,,,19.49616745,,,,,,,,,,19.49584653,,,,,,,,,,19.49104041,,,,,,,,,,19.48039505,,,,,,,,,,19.47620787,,,,
18.9377353,,,,,,,,,,18.92236388,,,,,,,,,,18.97937849,,,,,,,,,,18.96663203,,,,,,,,,,18.97247749,,,,,,,,,,18.99244615,,,,,,,,,,19.00265952,,,,
19.03330212,,,,,,,,,,19.03496974,,,,,,,,,,19.02195761,,,,,,,,,,19.03214376,,,,,,,,,,19.03553848,,,,,,,,,,19.03537697,,,,,,,,,,19.03341671,,,,
19.47501687,,,,,,,,,,19.47860858,,,,,,,,,,19.46947946,,,,,,,,,,19.47643476,,,,,,,,,,19.47861915,,,,,,,,,,19.47779593,,,,,,,,,,19.47604514,,,,
21.05351004,,,,,,,,,,21.06578196,,,,,,,,,,21.04867029,,,,,,,,,,21.05471812,,,,,,,,,,21.05429353,,,,,,,,,,21.04868549,,,,,,,,,,21.0453108,,,,
23.07971629,,,,,,,,,,23.07461346,,,,,,,,,,23.08936152,,,,,,,,,,23.09573983,,,,,,,,,,23.10266875,,,,,,,,,,23.11175523,,,,,,,,,,23.11417117,,,,
25.69768729,,,,,,,,,,25.68912399,,,,,,,,,,25.68377961,,,,,,,,,,25.70686494,,,,,,,,,,25.71847051,,,,,,,,,,25.72660891,,,,,,,,,,25.72588993,,,,
23.21424176,,,,,,,,,,23.16843606,,,,,,,,,,23.20310716,,,,,,,,,,23.23261581,,,,,,,,,,23.25715213,,,,,,,,,,23.28782321,,,,,,,,,,23.29471829,,,,
24.81285081,,,,,,,,,,24.79587621,,,,,,,,,,24.77420534,,,,,,,,,,24.78908375,,,,,,,,,,24.79254772,,,,,,,,,,24.79210207,,,,,,,,,,24.78952907,,,,
25.31134408,,,,,,,,,,25.29141941,,,,,,,,,,25.29040399,,,,,,,,,,25.29022553,,,,,,,,,,25.28953586,,,,,,,,,,25.29027424,,,,,,,,,,25.29071308,,,,
22.65217716,,,,,,,,,,22.59883761,,,,,,,,,,22.65619616,,,,,,,,,,22.63919468,,,,,,,,,,22.64261784,,,,,,,,,,22.66363649,,,,,,,,,,22.67495647,,,,
24.23905515,,,,,,,,,,24.21241856,,,,,,,,,,24.17245216,,,,,,,,,,24.18625835,,,,,,,,,,24.18419868,,,,,,,,,,24.1746457,,,,,,,,,,24.16879266,,,,
24.55359104,,,,,,,,,,24.52221328,,,,,,,,,,24.52579363,,,,,,,,,,24.51026155,,,,,,,,,,24.50141484,,,,,,,,,,24.49734593,,,,,,,,,,24.49865469,,,,
25.08821099,,,,,,,,,,25.1082419,,,,,,,,,,25.01816352,,,,,,,,,,25.02300328,,,,,,,,,,25.00318725,,,,,,,,,,24.96297537,,,,,,,,,,24.94690055,,,,
23.2734569,,,,,,,,,,23.27239704,,,,,,,,,,23.2782549,,,,,,,,,,23.25722969,,,,,,,,,,23.24541575,,,,,,,,,,23.23581143,,,,,,,,,,23.23570795,,,,
23.38316558,,,,,,,,,,23.41960719,,,,,,,,,,23.38103076,,,,,,,,,,23.35579276,,,,,,,,,,23.33145313,,,,,,,,,,23.2998616,,,,,,,,,,23.29235378,,,,
22.48920331,,,,,,,,,,22.49959565,,,,,,,,,,22.51284143,,,,,,,,,,22.50201823,,,,,,,,,,22.4979979,,,,,,,,,,22.49593474,,,,,,,,,,22.49718312,,,,
21.96466639,,,,,,,,,,21.95383924,,,,,,,,,,21.97715628,,,,,,,,,,21.98548269,,,,,,,,,,21.9955302,,,,,,,,,,22.0091316,,,,,,,,,,22.01291677,,,,
20.79744446,,,,,,,,,,20.78068685,,,,,,,,,,20.79459796,,,,,,,,,,20.80663866,,,,,,,,,,20.81699596,,,,,,,,,,20.82992494,,,,,,,,,,20.83281524,,,,
20.63546359,,,,,,,,,,20.64016413,,,,,,,,,,20.62093536,,,,,,,,,,20.62413498,,,,,,,,,,20.62190427,,,,,,,,,,20.6156607,,,,,,,,,,20.61257385,,,,
20.89391681,,,,,,,,,,20.90718592,,,,,,,,,,20.88261259,,,,,,,,,,20.8878228,,,,,,,,,,20.88495485,,,,,,,,,,20.87534086,,,,,,,,,,20.87061041,,,,
21.17824163,,,,,,,,,,21.18834879,,,,,,,,,,21.20669176,,,,,,,,,,21.18418676,,,,,,,,,,21.17537654,,,,,,,,,,21.17273979,,,,,,,,,,21.17589923,,,,
19.16899021,,,,,,,,,,19.16193091,,,,,,,,,,19.17687384,,,,,,,,,,19.18162944,,,,,,,,,,19.18788312,,,,,,,,,,19.19659759,,,,,,,,,,19.19910268,,,,
18.41864392,,,,,,,,,,18.41130945,,,,,,,,,,18.4401741,,,,,,,,,,18.42144776,,,,,,,,,,18.41756088,,,,,,,,,,18.42345478,,,,,,,,,,18.4293792,,,,
18.87246643,,,,,,,,,,18.87302314,,,,,,,,,,18.83618788,,,,,,,,,,18.86454525,,,,,,,,,,18.87239432,,,,,,,,,,18.8686355,,,,,,,,,,18.86188791,,,,
19.61927544,,,,,,,,,,19.62995272,,,,,,,,,,19.6264284,,,,,,,,,,19.61556781,,,,,,,,,,19.60842494,,,,,,,,,,19.60158802,,,,,,,,,,19.60091965,,,,
19.17324657,,,,,,,,,,19.17610065,,,,,,,,,,19.18123351,,,,,,,,,,19.17879533,,,,,,,,,,19.17853842,,,,,,,,,,19.17915424,,,,,,,,,,19.17979118,,,,
19.78100313,,,,,,,,,,19.78413067,,,,,,,,,,19.79578375,,,,,,,,,,19.7850575,,,,,,,,,,19.78170879,,,,,,,,,,19.78216852,,,,,,,,,,19.78433486,,,,
21.42458806,,,,,,,,,,21.4367938,,,,,,,,,,21.41351317,,,,,,,,,,21.42422614,,,,,,,,,,21.42509691,,,,,,,,,,21.41875084,,,,,,,,,,21.41422409,,,,
22.77258388,,,,,,,,,,22.75994334,,,,,,,,,,22.7832966,,,,,,,,,,22.791348,,,,,,,,,,22.80139626,,,,,,,,,,22.81544357,,,,,,,,,,22.81936509,,,,
23.4565539,,,,,,,,,,23.4302902,,,,,,,,,,23.42654853,,,,,,,,,,23.46749373,,,,,,,,,,23.49055282,,,,,,,,,,23.50849135,,,,,,,,,,23.50771713,,,,
24.43420107,,,,,,,,,,24.4343852,,,,,,,,,,24.43043596,,,,,,,,,,24.42030703,,,,,,,,,,24.41421396,,,,,,,,,,24.40967557,,,,,,,,,,24.40959256,,,,
25.87695789,,,,,,,,,,25.87346412,,,,,,,,,,25.86067614,,,,,,,,,,25.86892558,,,,,,,,,,25.87065752,,,,,,,,,,25.86858019,,,,,,,,,,25.86615642,,,,
25.67303841,,,,,,,,,,25.66067818,,,,,,,,,,25.6251092,,,,,,,,,,25.67327249,,,,,,,,,,25.69237463,,,,,,,,,,25.69715904,,,,,,,,,,25.68998104,,,,
23.75098448,,,,,,,,,,23.74532728,,,,,,,,,,23.75355204,,,,,,,,,,23.74879235,,,,,,,,,,23.74777192,,,,,,,,,,23.74963115,,,,,,,,,,23.75127425,,,,
26.17465511,,,,,,,,,,26.17875524,,,,,,,,,,26.14897395,,,,,,,,,,26.16620415,,,,,,,,,,26.16915923,,,,,,,,,,26.16290783,,,,,,,,,,26.15717435,,,,
25.37130807,,,,,,,,,,25.35579134,,,,,,,,,,25.41834189,,,,,,,,,,25.37735589,,,,,,,,,,25.36800994,,,,,,,,,,25.37857182,,,,,,,,,,25.39052112,,,,
23.4854224,,,,,,,,,,23.46122445,,,,,,,,,,23.46921755,,,,,,,,,,23.47585063,,,,,,,,,,23.4815346,,,,,,,,,,23.4896598,,,,,,,,,,23.49175421,,,,
22.94476057,,,,,,,,,,22.94412941,,,,,,,,,,22.95935865,,,,,,,,,,22.91450677,,,,,,,,,,22.89214889,,,,,,,,,,22.88062066,,,,,,,,,,22.88472482,,,,
22.92507886,,,,,,,,,,22.94723276,,,,,,,,,,22.8954401,,,,,,,,,,22.89146201,,,,,,,,,,22.87653857,,,,,,,,,,22.84997831,,,,,,,,,,22.84051395,,,,
21.47723345,,,,,,,,,,21.46041144,,,,,,,,,,21.46961166,,,,,,,,,,21.48697206,,,,,,,,,,21.49819472,,,,,,,,,,21.50833007,,,,,,,,,,21.50905304,,,,
20.6882119,,,,,,,,,,20.65868827,,,,,,,,,,20.6804449,,,,,,,,,,20.69172055,,,,,,,,,,20.70321906,,,,,,,,,,20.71930888,,,,,,,,,,20.7234398,,,,
20.03569828,,,,,,,,,,20.01731121,,,,,,,,,,20.03604883,,,,,,,,,,20.01588472,,,,,,,,,,20.00890646,,,,,,,,,,20.01081463,,,,,,,,,,20.0153221,,,,
18.80025003,,,,,,,,,,18.77708511,,,,,,,,,,18.79810261,,,,,,,,,,18.77454695,,,,,,,,,,18.7657102,,,,,,,,,,18.76665996,,,,,,,,,,18.77154848,,,,
19.940515,,,,,,,,,,19.94563362,,,,,,,,,,19.9096756,,,,,,,,,,19.89655928,,,,,,,,,,19.88037838,,,,,,,,,,19.85870668,,,,,,,,,,19.85272584,,,,
20.24506519,,,,,,,,,,20.23819118,,,,,,,,,,20.22230462,,,,,,,,,,20.22600331,,,,,,,,,,20.22344251,,,,,,,,,,20.2165942,,,,,,,,,,20.21331259,,,,
17.80064038,,,,,,,,,,17.76687391,,,,,,,,,,17.78943388,,,,,,,,,,17.79686978,,,,,,,,,,17.8057935,,,,,,,,,,17.81965373,,,,,,,,,,17.82366052,,,,
18.51791502,,,,,,,,,,18.52096663,,,,,,,,,,18.50564083,,,,,,,,,,18.48138609,,,,,,,,,,18.46371239,,,,,,,,,,18.44705736,,,,,,,,,,18.4451817,,,,
18.82916284,,,,,,,,,,18.84517259,,,,,,,,,,18.81716584,,,,,,,,,,18.80082889,,,,,,,,,,18.78456928,,,,,,,,,,18.76333885,,,,,,,,,,18.75795476,,,,
19.41881426,,,,,,,,,,19.43576363,,,,,,,,,,19.41050179,,,,,,,,,,19.41021797,,,,,,,,,,19.40343608,,,,,,,,,,19.38929785,,,,,,,,,,19.38381629,,,,
19.01760691,,,,,,,,,,19.01906838,,,,,,,,,,19.02454532,,,,,,,,,,19.02979798,,,,,,,,,,19.03363168,,,,,,,,,,19.0366679,,,,,,,,,,19.03682256,,,,
20.02711178,,,,,,,,,,20.04116391,,,,,,,,,,20.04320175,,,,,,,,,,20.03090251,,,,,,,,,,20.02433546,,,,,,,,,,20.01915467,,,,,,,,,,20.01944462,,,,
19.73142549,,,,,,,,,,19.69978471,,,,,,,,,,19.73296821,,,,,,,,,,19.75826952,,,,,,,,,,19.78049404,,,,,,,,,,19.80722916,,,,,,,,,,19.8129387,,,,
21.82465961,,,,,,,,,,21.79283382,,,,,,,,,,21.8131576,,,,,,,,,,21.8247862,,,,,,,,,,21.83672937,,,,,,,,,,21.85417106,,,,,,,,,,21.85882258,,,,
26.18694301,,,,,,,,,,26.1889724,,,,,,,,,,26.17336307,,,,,,,,,,26.15521406,,,,,,,,,,26.14179535,,,,,,,,,,26.12887245,,,,,,,,,,26.12705419,,,,
26.40083335,,,,,,,,,,26.43409656,,,,,,,,,,26.37834157,,,,,,,,,,26.36895452,,,,,,,,,,26.35019165,,,,,,,,,,26.31911746,,,,,,,,,,26.30874849,,,,
25.69697119,,,,,,,,,,25.67325322,,,,,,,,,,25.71485464,,,,,,,,,,25.71975857,,,,,,,,,,25.73144466,,,,,,,,,,25.75075945,,,,,,,,,,25.75734859,,,,
26.84470995,,,,,,,,,,26.81962092,,,,,,,,,,26.84237807,,,,,,,,,,26.84470721,,,,,,,,,,26.85180626,,,,,,,,,,26.86502888,,,,,,,,,,26.86959298,,,,
24.86492621,,,,,,,,,,24.86314674,,,,,,,,,,24.86038229,,,,,,,,,,24.83985236,,,,,,,,,,24.82758662,,,,,,,,,,24.81887274,,,,,,,,,,24.81938255,,,,
24.1572175,,,,,,,,,,24.15497661,,,,,,,,,,24.11666401,,,,,,,,,,24.13955572,,,,,,,,,,24.1435392,,,,,,,,,,24.13592627,,,,,,,,,,24.12859815,,,,
23.79000802,,,,,,,,,,23.7974848,,,,,,,,,,23.76828962,,,,,,,,,,23.77959743,,,,,,,,,,23.77864832,,,,,,,,,,23.76914814,,,,,,,,,,23.76340917,,,,
23.25070358,,,,,,,,,,23.26514088,,,,,,,,,,23.24927233,,,,,,,,,,23.2490167,,,,,,,,,,23.24490851,,,,,,,,,,23.23597403,,,,,,,,,,23.23240912,,,,
23.65526081,,,,,,,,,,23.65791543,,,,,,,,,,23.69030797,,,,,,,,,,23.66675861,,,,,,,,,,23.66024822,,,,,,,,,,23.66345038,,,,,,,,,,23.66932788,,,,
22.32388088,,,,,,,,,,22.31625296,,,,,,,,,,22.309101,,,,,,,,,,22.33315683,,,,,,,,,,22.34529722,,,,,,,,,,22.35264889,,,,,,,,,,22.35110656,,,,
21.40644111,,,,,,,,,,21.41351217,,,,,,,,,,21.38445047,,,,,,,,,,21.40656898,,,,,,,,,,21.4128389,,,,,,,,,,21.40944557,,,,,,,,,,21.40383538,,,,
21.93552557,,,,,,,,,,21.94506559,,,,,,,,,,21.929543,,,,,,,,,,21.94333473,,,,,,,,,,21.94774834,,,,,,,,,,21.94600021,,,,,,,,,,21.94259142,,,,
20.74215904,,,,,,,,,,20.71943355,,,,,,,,,,20.74176166,,,,,,,,,,20.76789491,,,,,,,,,,20.7878958,,,,,,,,,,20.80966057,,,,,,,,,,20.81336752,,,,
19.12570116,,,,,,,,,,19.10320593,,,,,,,,,,19.14592267,,,,,,,,,,19.12938828,,,,,,,,,,19.1300893,,,,,,,,,,19.14456541,,,,,,,,,,19.15351351,,,,
18.7205523,,,,,,,,,,18.69826599,,,,,,,,,,18.70672571,,,,,,,,,,18.70514445,,,,,,,,,,18.70630804,,,,,,,,,,18.7118297,,,,,,,,,,18.7145135,,,,
19.46469915,,,,,,,,,,19.44741567,,,,,,,,,,19.42054973,,,,,,,,,,19.44059362,,,,,,,,,,19.44573954,,,,,,,,,,19.4437582,,,,,,,,,,19.43928415,,,,
18.73485249,,,,,,,,,,18.75026897,,,,,,,,,,18.72500928,,,,,,,,,,18.70057512,,,,,,,,,,18.68044131,,,,,,,,,,18.65792154,,,,,,,,,,18.65361991,,,,
18.21340887,,,,,,,,,,18.20986541,,,,,,,,,,18.22438125,,,,,,,,,,18.20588142,,,,,,,,,,18.19771301,,,,,,,,,,18.19462768,,,,,,,,,,18.19703901,,,,
19.11344497,,,,,,,,,,19.13708482,,,,,,,,,,19.11215471,,,,,,,,,,19.09353202,,,,,,,,,,19.07662644,,,,,,,,,,19.05566909,,,,,,,,,,19.0510696,,,,
19.42369777,,,,,,,,,,19.43771158,,,,,,,,,,19.42141879,,,,,,,,,,19.4283248,,,,,,,,,,19.42800213,,,,,,,,,,19.4212627,,,,,,,,,,19.41730164,,,,
18.70549636,,,,,,,,,,18.70168636,,,,,,,,,,18.7281973,,,,,,,,,,18.7249014,,,,,,,,,,18.7290665,,,,,,,,,,18.73878811,,,,,,,,,,18.74314464,,,,
18.31536783,,,,,,,,,,18.29728709,,,,,,,,,,18.29266871,,,,,,,,,,18.33047931,,,,,,,,,,18.35122188,,,,,,,,,,18.36655922,,,,,,,,,,18.36554392,,,,
18.80909154,,,,,,,,,,18.80581623,,,,,,,,,,18.78979892,,,,,,,,,,18.8078031,,,,,,,,,,18.81498364,,,,,,,,,,18.81690524,,,,,,,,,,18.8140945,,,,
