Consumption_dma_a,Forecast_dma_a,Consumption_dma_b,Forecast_dma_b,Consumption_dma_g,Forecast_dma_g,Consumption_dma_i,Forecast_dma_i
8.367256497,,8.581490687,,22.30047951,,17.21445959,
9.519390001,,7.494525528,,18.72731657,,16.10396363,
5.098059633,,7.400771066,,16.65293855,,16.11266298,
4.070383024,,7.456758186,,15.25511939,,16.06307145,
4.838948773,,7.319433535,,15.2860674,,16.40640528,
4.929210267,,7.522259022,,16.06291731,,16.12294183,
5.296816705,,7.999322957,,17.93773499,,16.83750581,
6.865696218,,9.253702852,,23.19664345,,18.68126742,
8.71220587,,10.32870146,,31.69272579,,21.62909823,
9.318485094,,10.56734922,,32.98582372,,23.71911113,
9.268876802,,10.05598777,,31.52798828,,22.91433423,
9.619202138,,9.869805237,,27.65546693,,22.5421422,
9.478642834,,9.941787931,,26.002779,,22.69593379,
9.490972468,,10.2751901,,25.47830976,,22.06793504,
9.233097887,,9.444342092,,25.96307128,,23.34259147,
9.313047657,,9.544263598,,25.12326151,,23.56111618,
9.114537898,,9.352150527,,23.85227819,,22.52079025,
7.795782015,,9.301655939,,23.70636634,,22.26518279,
7.158345938,,9.744382485,,24.66994561,,21.07562557,
7.284856425,,10.20612709,,27.23797789,,20.59967239,
7.84778377,,11.11374397,,29.53187066,,20.34992321,
7.91484343,,10.01946729,,29.67983225,,19.42095374,
6.827023386,,9.13373386,,27.29294541,,18.83700235,
5.655634989,,8.572259334,,22.91255127,,18.63076291,
5.033017312,,7.773528413,,21.05479281,,18.02363221,
4.547558722,,7.857537432,,17.94379561,,17.15425578,
4.193463892,,7.298377893,,16.12989531,,16.46318548,
14.72652935,,7.45252684,,15.1896461,,16.31940798,
5.775128898,,7.621040614,,15.19263167,,17.37144467,
4.58108295,,7.546493812,,16.00596352,,17.21085194,
4.488366723,,7.701123897,,17.38118167,,17.94651223,
5.968438228,,9.050412774,,23.39056393,,19.01123325,
8.183667796,,10.57961854,,33.10407319,,20.71347868,
8.659204123,,10.85950029,,33.24464273,,22.10538703,
9.054199317,,9.99322072,,28.80138203,,22.47346147,
9.19948002,,9.714271165,,27.27187881,,23.35144673,
9.295398438,,9.368258658,,25.12850731,,23.00257732,
9.970512993,,9.212336542,,25.33243595,,22.03662993,
10.63947169,,9.591894725,,25.97036761,,23.95363868,
11.0820918,,10.2821115,,25.06523025,,23.92349629,
9.760465694,,10.43587851,,23.80571152,,23.89416222,
8.557932717,,10.23715564,,23.66606532,,23.02725592,
7.975407876,,9.783481024,,25.31348122,,22.88469669,
8.018204255,,10.14460382,,26.23178536,,21.20825386,
7.794186853,,10.57561473,,28.02903721,,21.05143139,
7.585694575,,9.737576606,,29.64757577,,20.28336004,
6.126581059,,9.376891197,,26.09378626,,18.9717981,
5.296810157,,8.55819952,,22.67328375,,18.73003952,
4.997628924,,8.161910667,,20.89387429,,18.17022189,
4.418610834,,7.69208284,,18.43851558,,17.43370282,
3.803886358,,7.377749755,,15.57438707,,16.54881099,
4.153959364,,7.494731981,,15.12688905,,17.25814743,
3.954877064,,7.527493029,,15.20007267,,18.04109956,
4.009256681,,7.485273506,,15.71299362,,17.60649278,
4.499465863,,7.784039638,,17.18225568,,17.42949842,
6.166734817,,9.229202131,,23.57054168,,18.55390375,
8.39393804,,10.85713943,,33.05205298,,20.76094389,
9.183590246,,10.66773253,,32.7015147,,21.63753251,
8.873163622,,9.960347792,,28.72797721,,22.48973341,
8.516136646,,9.987095108,,26.63494413,,23.20286497,
8.547526035,,10.10301933,,25.67497925,,23.4301545,
8.64227412,,9.657465262,,25.12089713,,23.49753267,
8.850325753,,9.98049578,,26.66017036,,23.492025,
8.660836772,,9.500164542,,24.28356994,,24.09361494,
8.211586749,,8.810136182,,24.34735175,,24.21659005,
8.006552019,,9.141961879,,24.59787252,,22.78687184,
7.813397577,,10.17130068,,25.43810642,,20.73659929,
7.966738607,,10.55379991,,26.07742451,,20.36064263,
8.617504395,,10.06632077,,29.30037457,,20.20331041,
8.350881717,,9.32138161,,30.40244825,,19.42878501,
6.910032552,,9.125876738,,25.8276473,,18.4665599,
5.605867098,,8.275327004,,24.03461437,,18.4148376,
5.137477958,,7.732439348,,20.738635,,18.47624865,
4.231227701,,7.509240791,,18.6112641,,16.71464663,
3.402280853,,7.360630135,,16.20024069,,16.74535283,
3.70261029,,7.585144602,,15.77112495,,16.86751991,
3.881706625,,7.279921791,,15.36690451,,17.66451886,
4.151952983,,7.476068135,,15.71197544,,17.01625831,
5.699390784,,7.91018474,,17.85336635,,17.61618189,
7.375723251,,9.063199451,,23.91174484,,19.1133663,
9.538818288,,10.87387156,,32.32911333,,20.81205731,
9.579900269,,10.44924782,,33.99276982,,22.22797932,
9.808797707,,10.38298792,,29.96722118,,22.80730002,
9.60576849,,9.450394083,,26.65771102,,23.6404676,
9.376328412,,10.06681197,,25.36624451,,23.82910129,
8.967081111,,9.710824295,,25.11602159,,23.24424354,
9.077590429,,9.731806469,,26.37452253,,23.9945538,
8.796781888,,9.285781967,,25.21689201,,24.14612195,
7.996062176,,9.140435901,,24.04433633,,24.28829136,
7.291085882,,9.633208247,,24.27208931,,24.3554005,
7.087024421,,9.918132144,,24.40802191,,23.05804238,
7.393310739,,9.863397672,,26.55367979,,22.1898983,
7.70963787,,9.70332484,,28.91704077,,20.63045761,
8.110082797,,9.9105224,,30.40320124,,19.27021259,
6.818851887,,8.76127517,,26.10488272,,18.31288726,
5.726379042,,7.952192553,,22.69019981,,18.0547092,
4.983598769,,8.15470281,,21.15892642,,17.53409976,
4.441673053,,7.510617111,,18.73079354,,17.0042103,
3.877832714,,7.15040269,,16.48346261,,17.34015235,
4.267538706,,7.287795512,,15.29285324,,17.25299612,
4.903253264,,7.324714566,,15.95744526,,17.51115145,
4.210139544,,7.324551418,,15.87466219,,17.31847866,
4.103796251,,7.658170508,,17.41017517,,17.9169677,
5.166992518,,9.599213745,,23.57474762,,19.42032423,
7.634879013,,10.32662342,,32.22411362,,21.67286706,
8.473206169,,10.59175594,,32.95562663,,23.02534989,
8.72547355,,9.799317864,,30.56160602,,23.38806429,
8.662144997,,10.02236218,,28.53867955,,23.53423342,
8.238541695,,9.917389014,,25.92780179,,23.52318119,
8.186361424,,9.353738052,,25.65883623,,23.23415696,
8.768295892,,10.38762851,,26.16960974,,23.88897956,
8.695077899,,8.899294548,,26.03991268,,23.95300609,
8.254274544,,9.565508009,,24.30929071,,21.32935108,
7.433351012,,9.205905166,,25.11221041,,21.68870017,
7.239961764,,10.22464767,,25.09634196,,20.44446522,
7.401030642,,10.09372161,,27.05541302,,20.05840043,
7.519494813,,9.526828251,,27.30426074,,19.3808417,
7.144794289,,9.822587414,,27.11805695,,18.37276966,
5.974482709,,9.200477803,,24.73146815,,17.46273177,
4.628247827,,8.126723295,,22.81886471,,17.32573823,
4.162927561,,8.011496771,,21.13267215,,17.2003609,
3.59289598,,7.366071429,,19.07721378,,16.48900008,
3.705816168,,7.447693396,,17.09464754,,16.64767436,
4.323345122,,7.306592513,,16.5991138,,16.68230323,
4.731610447,,7.265190422,,15.9959358,,16.79248159,
4.910165995,,7.16532645,,16.09608167,,16.63622341,
5.334743459,,7.790602666,,17.95957401,,16.86486713,
6.897160251,,8.487640418,,21.08579893,,17.6633814,
9.16331164,,9.614054903,,26.71895097,,18.23013435,
9.416335511,,10.45462745,,32.19874049,,18.48862426,
9.173278872,,11.24504017,,33.79043117,,19.02454718,
8.689220453,,11.430858,,33.55409846,,19.25192704,
7.743283807,,10.50422279,,31.2919224,,19.57962281,
7.531817378,,10.47392111,,30.13214402,,19.27519644,
6.983947616,,10.30396946,,30.0087305,,18.36499031,
6.788291778,,10.46507638,,28.84711998,,18.22957049,
6.173641451,,9.563758967,,26.99356531,,17.09938999,
5.677926999,,10.59171098,,26.99143484,,17.9638255,
5.874499531,,10.66822648,,26.42848175,,17.53177539,
6.112172157,,10.37768719,,28.58928911,,16.89011742,
6.558092635,,10.22643344,,28.64259618,,16.36781962,
6.762697099,,9.175074316,,27.84405019,,15.97926089,
5.771173197,,8.650570656,,24.17763464,,16.06446526,
5.376447427,,7.962590485,,21.98694003,,16.09179966,
5.114930294,,7.87973472,,22.05807274,,15.70947852,
4.701171846,,7.819370231,,20.1239868,,14.98773411,
4.014090033,,7.354944035,,18.41339473,,14.67271398,
4.213415467,,7.211952239,,18.11112099,,16.15960424,
4.161721624,,7.136141499,,16.96393109,,15.18550458,
4.481235733,,7.489798615,,18.46579273,,15.77722285,
5.327599457,,8.134664249,,19.49036975,,15.85167269,
6.246824025,,8.29196941,,22.98796548,,16.42606848,
6.996685514,,10.07211119,,27.74482041,,17.04773751,
7.221417827,,10.85720233,,32.60441218,,17.25779496,
7.322423306,,11.59371987,,32.55718832,,17.50429661,
7.157533533,,11.23707977,,31.96053538,,17.00949848,
7.814281715,,11.6671667,,30.69501881,,17.13620507,
7.354738464,,10.5891333,,29.10545107,,17.12975539,
7.592222734,,10.58658642,,27.61568923,,16.93083381,
