Date,RAIN_DEPTH,AIR_TEMP,AIR_HUMIDITY,WIND_SPEED
01/01/2021 00:00,0,7.2,79,9
01/01/2021 01:00,0,7.3,79,6
01/01/2021 02:00,0,7.6,78,4
01/01/2021 03:00,0,8.2,75,4
01/01/2021 04:00,0,7.7,77,7
01/01/2021 05:00,0.1,7.5,81,8
01/01/2021 06:00,0,7.6,82,8
01/01/2021 07:00,0,7.6,84,9
01/01/2021 08:00,0.5,7.2,91,9
01/01/2021 09:00,0,8,86,9
01/01/2021 10:00,0.3,8,88,10
01/01/2021 11:00,0,8.8,87,8
01/01/2021 12:00,0,9.4,82,5
01/01/2021 13:00,0,10.3,77,6
01/01/2021 14:00,0.1,10,80,7
01/01/2021 15:00,0.5,10.1,80,8
01/01/2021 16:00,0.7,9.8,84,7
01/01/2021 17:00,0,10.2,85,7
01/01/2021 18:00,0,10.8,81,8
01/01/2021 19:00,0,10.6,75,12
01/01/2021 20:00,0.4,9.7,85,10
01/01/2021 21:00,0.1,9.7,84,8
01/01/2021 22:00,0,10.5,77,8
01/01/2021 23:00,0,10.6,80,14
02/01/2021 00:00,0,10.7,79,12
02/01/2021 01:00,0,10.8,79,10
02/01/2021 02:00,0,10.8,78,10
02/01/2021 03:00,0,11.1,73,15
02/01/2021 04:00,0.2,10.2,78,15
02/01/2021 05:00,0,10.3,77,14
02/01/2021 06:00,0,10.5,73,18
02/01/2021 07:00,0,10.6,73,18
02/01/2021 08:00,0,9.9,74,26
02/01/2021 09:00,0,10.5,74,24
02/01/2021 10:00,0,10.8,70,27
02/01/2021 11:00,0,11.1,67,23
02/01/2021 12:00,0,11.6,70,25
02/01/2021 13:00,0.1,10.6,75,26
02/01/2021 14:00,0.1,9.8,75,28
02/01/2021 15:00,1.2,9.2,81,31
02/01/2021 16:00,1.7,10.7,78,17
02/01/2021 17:00,3,9.7,81,14
02/01/2021 18:00,4.1,9.9,82,21
02/01/2021 19:00,3.6,9.2,84,23
02/01/2021 20:00,3.9,9.8,79,21
02/01/2021 21:00,0,10.1,77,15
02/01/2021 22:00,0.2,10.2,76,22
02/01/2021 23:00,0,9.9,73,17
03/01/2021 00:00,0.5,9.7,78,15
03/01/2021 01:00,0,9.4,76,17
03/01/2021 02:00,0,9.6,74,17
03/01/2021 03:00,0,10,74,12
03/01/2021 04:00,0,10,75,10
03/01/2021 05:00,0,10.1,76,8
03/01/2021 06:00,0,10.2,75,9
03/01/2021 07:00,0,9.6,76,10
03/01/2021 08:00,0,9.2,78,9
03/01/2021 09:00,0,10,72,12
03/01/2021 10:00,0,10.3,71,9
03/01/2021 11:00,0,10.7,68,9
03/01/2021 12:00,0,11.1,68,9
03/01/2021 13:00,0,12.1,65,5
03/01/2021 14:00,0,11.5,71,8
03/01/2021 15:00,0,11.3,73,9
03/01/2021 16:00,0.1,10.4,75,12
03/01/2021 17:00,0,9.9,74,16
03/01/2021 18:00,0,9.5,81,11
03/01/2021 19:00,0,9.3,74,10
03/01/2021 20:00,0,9.3,73,9
03/01/2021 21:00,0,8.9,73,6
03/01/2021 22:00,0,8.6,76,7
03/01/2021 23:00,0,8,74,6
04/01/2021 00:00,0,7.9,71,14
04/01/2021 01:00,0,8.1,70,15
04/01/2021 02:00,0,7.9,71,12
04/01/2021 03:00,0,7.9,71,19
04/01/2021 04:00,0,8.2,70,19
04/01/2021 05:00,0,8.4,69,13
04/01/2021 06:00,0,8.2,71,8
04/01/2021 07:00,0,8.2,71,9
04/01/2021 08:00,0,8.3,72,6
04/01/2021 09:00,0,7.9,75,7
04/01/2021 10:00,0.1,7,80,8
04/01/2021 11:00,0.3,6.7,79,12
04/01/2021 12:00,0,7.7,78,11
04/01/2021 13:00,0,7.9,76,9
04/01/2021 14:00,0,8.2,76,9
04/01/2021 15:00,0,8.7,74,9
04/01/2021 16:00,0,8.9,73,3
04/01/2021 17:00,0,9.1,75,4
04/01/2021 18:00,0,8.7,77,6
04/01/2021 19:00,0,8.2,78,7
04/01/2021 20:00,0,8.5,76,6
04/01/2021 21:00,0,8.1,75,7
04/01/2021 22:00,0,8.1,73,6
04/01/2021 23:00,0,7.8,74,6
05/01/2021 00:00,0,7.9,71,6
05/01/2021 01:00,0,7.9,72,4
05/01/2021 02:00,0,7.5,73,5
05/01/2021 03:00,0,7.9,72,7
05/01/2021 04:00,0,7.4,74,7
05/01/2021 05:00,0,7.2,75,6
05/01/2021 06:00,0,7.3,75,8
05/01/2021 07:00,0,7.2,74,10
05/01/2021 08:00,0,7,75,6
05/01/2021 09:00,0,8,72,4
05/01/2021 10:00,0,8.6,69,4
05/01/2021 11:00,0,8.8,67,7
05/01/2021 12:00,0,9,67,7
05/01/2021 13:00,0,9.3,68,8
05/01/2021 14:00,0,9.6,68,7
05/01/2021 15:00,0,9.8,65,8
05/01/2021 16:00,0.4,8.7,72,12
05/01/2021 17:00,0.8,7.5,76,10
05/01/2021 18:00,0.3,7.2,76,14
05/01/2021 19:00,0.1,7.3,76,16
05/01/2021 20:00,0.1,7.1,75,24
05/01/2021 21:00,0,7.2,74,20
05/01/2021 22:00,0,7.1,75,23
05/01/2021 23:00,0,7,74,22
06/01/2021 00:00,0,7.2,75,15
06/01/2021 01:00,0,7.2,76,15
06/01/2021 02:00,0.6,7.2,77,14
06/01/2021 03:00,0,7.5,75,13
06/01/2021 04:00,0,7.5,75,15
06/01/2021 05:00,0,7.2,76,13
06/01/2021 06:00,0.2,7.2,80,12
06/01/2021 07:00,0,6.9,80,11
06/01/2021 08:00,0,7,80,12
06/01/2021 09:00,0,7,80,15
06/01/2021 10:00,0,7.7,79,15
06/01/2021 11:00,0,7.7,80,14
06/01/2021 12:00,0,8.3,79,12
06/01/2021 13:00,0,8.7,71,22
06/01/2021 14:00,0,8.7,75,17
06/01/2021 15:00,0,7.8,79,26
06/01/2021 16:00,0.2,6.9,78,24
06/01/2021 17:00,0,6.9,81,9
06/01/2021 18:00,0.1,6.7,83,10
06/01/2021 19:00,1.8,5.8,84,6
06/01/2021 20:00,0,6,83,10
06/01/2021 21:00,0,6.3,84,9
06/01/2021 22:00,0,6.3,84,9
06/01/2021 23:00,0,6.1,84,8
07/01/2021 00:00,0,5.9,82,10
07/01/2021 01:00,0,6.2,84,8
07/01/2021 02:00,0,5.7,85,12
07/01/2021 03:00,0,5.5,86,12
07/01/2021 04:00,0,5.9,83,8
07/01/2021 05:00,0,6.2,83,7
