,dma_a,dma_b,dma_c,dma_d,dma_e,dma_f,dma_g,dma_h,dma_i,dma_j,mean
rolling_mean,0.039,0.038,0.027,0.043,0.044,0.072,0.077,0.036,0.072,0.041,0.04895542789001122
knn,0.021,0.021,0.021,0.021,0.021,0.022,0.021,0.021,0.022,0.021,0.021201154401154398
spline,0.298,0.359,0.183,0.263,0.412,0.336,1.827,0.686,0.25,0.554,0.5166748903218695
rolling,0.075,0.07,0.157,0.095,0.076,0.055,0.058,0.055,0.04,0.072,0.07537816007295174
nocf,0.242,0.232,0.167,0.218,0.23,0.204,0.213,0.234,0.22,0.221,0.2180658813832772
mean,0.024,0.025,0.022,0.023,0.027,0.024,0.024,0.021,0.024,0.025,0.023889034892576554
median,0.024,0.024,0.022,0.022,0.026,0.022,0.022,0.02,0.021,0.024,0.02268906054593554
hybrid,0.018,0.018,0.018,0.017,0.018,0.019,0.018,0.018,0.021,0.018,0.01829999639249639
seasonal,0.02,0.019,0.019,0.019,0.022,0.022,0.022,0.019,0.022,0.021,0.02049332095759179
miss_forest,0.018,0.018,0.017,0.017,0.018,0.02,0.018,0.018,0.021,0.018,0.018299992634680132
