,dma_a,dma_b,dma_c,dma_d,dma_e,dma_f,dma_g,dma_h,dma_i,dma_j,mean
rolling_mean,0.053,0.052,0.033,0.054,0.058,0.097,0.142,0.05,0.093,0.056,0.06890425064133397
knn,0.046,0.046,0.057,0.048,0.047,0.046,0.045,0.049,0.046,0.047,0.04770901620370369
spline,0.652,0.426,0.162,0.385,0.506,0.417,4.244,0.932,0.409,0.566,0.8734677574354659
rolling,0.102,0.104,0.123,0.11,0.114,0.065,0.086,0.07,0.056,0.098,0.09279293645783228
nocf,0.3,0.32,0.154,0.271,0.309,0.278,0.336,0.328,0.293,0.284,0.28732015702661534
mean,0.035,0.034,0.037,0.033,0.035,0.033,0.035,0.034,0.034,0.033,0.03431370500641335
median,0.035,0.033,0.038,0.033,0.034,0.033,0.034,0.034,0.034,0.033,0.03411141118526536
hybrid,0.041,0.038,0.05,0.04,0.038,0.041,0.04,0.042,0.043,0.039,0.041220374128186625
seasonal,0.031,0.03,0.035,0.03,0.031,0.031,0.032,0.03,0.032,0.031,0.03130244268077602
miss_forest,0.039,0.036,0.049,0.04,0.038,0.042,0.039,0.04,0.042,0.04,0.04050348995911496
